kpi,value,unit,description
agent_events,1,events,Non-cron agent actions observed across harnesses.
cron_runs,0,runs,Scheduled or cron-triggered agent runs.
cron_runs_per_day,0.0,runs/day,Observed scheduled-agent cadence.
events_per_day,1.0,events/day,Observed non-cron agent activity cadence.
active_agents,1,agents,Distinct hashed agent/run identities observed.
harnesses,1,harnesses,"Distinct harnesses such as Claude Code, Hermes, OpenClaw, Codex, or Cursor."
workflows,1,workflows,Distinct workflow names observed.
categories,1,categories,User-defined resource categories observed.
successes,1,runs,Runs marked success.
errors,0,runs,Runs marked error or failure.
success_rate,1.0,ratio,Successful runs divided by all observed runs.
error_rate,0.0,ratio,Errored runs divided by all observed runs.
median_duration_ms,,ms,Median duration across runs with duration data.
tokens_total_estimate,0,tokens,Estimated input plus output tokens.
tokens_per_run_estimate,0.0,tokens/run,Estimated tokens divided by observed runs.
cost_estimate_usd,0,USD,Estimated total model/tool cost when supplied by harnesses.
cost_per_run_estimate_usd,0.0,USD/run,Estimated cost divided by observed runs.
